Room Name: Level 0
Room Description: You are trapped inside a cage.
Exit Rooms: D-Level 1

Room Name: Level 1
Room Description: You are in the clouds.
Exit Rooms: D-Level 2, N-,S-,W-,E-
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:

Room Name: Level 2
Room Description: You are submerged in water.
Exit Rooms: D-Level 3
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:


Room Name: Level 3
Room Description: You are on grass. 
Exit Rooms: D-Level 4
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:


Room Name: Level 4
Room Description: You are on the final level "Fire".
Exit Rooms: D-End
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:
Room Name: 
Room Description: 
Exit Rooms:


Room Name: End
Room Description: You have reached the end. 
Exit Rooms:
